36,9.5
33.9722,7.77288
32.6305,6.62788
31.6965,5.82915
31.0037,5.23531
30.4563,4.76504
29.9996,4.37184
29.6007,4.02776
29.2393,3.71544
28.9031,3.42452
28.5852,3.14913
28.2819,2.88598
27.9906,2.63299
27.7094,2.38853
27.4367,2.15113
27.1707,1.91942
26.9101,1.69214
26.6535,1.46815
26.3996,1.24639
26.1475,1.02598
25.8962,0.806206
25.6451,0.586579
25.3938,0.366823
25.1421,0.146892
24.8903,-0.0730445
24.6386,-0.292639
24.3875,-0.511402
24.1378,-0.72876
23.8902,-0.944118
23.6455,-1.15693
23.4043,-1.36677
23.1671,-1.57343
22.9339,-1.77699
22.7044,-1.97789
22.4777,-2.17686
22.2527,-2.37494
22.0281,-2.57331
21.8024,-2.77316
21.5742,-2.97548
21.3428,-3.1809
21.1074,-3.38956
20.8681,-3.60095
20.6248,-3.8139
20.3779,-4.0265
20.1273,-4.23612
19.8728,-4.43949
19.6139,-4.63285
19.3493,-4.81224
19.078,-4.97376
18.7984,-5.11402
18.5092,-5.2305
18.2097,-5.32185
17.8994,-5.38799
17.5783,-5.43009
17.2474,-5.45041
16.9079,-5.45191
16.5619,-5.43794
16.2118,-5.41186
15.8602,-5.37684
15.5099,-5.33569
15.1634,-5.29076
14.8228,-5.244
14.4893,-5.19695
14.1633,-5.15085
13.8441,-5.10672
13.5304,-5.06538
13.2201,-5.02756
12.9111,-4.99398
12.6015,-4.96541
12.2898,-4.94268
11.9753,-4.9267
11.6578,-4.91843
11.3375,-4.91874
11.0152,-4.92839
10.6916,-4.9479
10.3672,-4.97748
10.0427,-5.01697
9.71831,-5.06588
9.39467,-5.12339
9.07249,-5.18841
8.75299,-5.25965
8.43778,-5.33572
8.12885,-5.41521
7.82826,-5.4968
7.53775,-5.57937
7.25831,-5.66215
6.98976,-5.74475
6.73066,-5.82722
6.47835,-5.91005
6.22929,-5.99404
5.97955,-6.08024
5.72551,-6.16973
5.46441,-6.26353
5.19465,-6.36244
4.91593,-6.46706
4.62905,-6.5777
4.33557,-6.69448
4.03726,-6.81733
3.73568,-6.94607
3.43187,-7.08037
3.12623,-7.21973
2.81855,-7.36338
2.50828,-7.51016
2.19477,-7.65837
1.87754,-7.80575
1.55647,-7.94945
1.23188,-8.0862
0.904454,-8.21251
0.575163,-8.32491
0.245097,-8.42036
-0.0846882,-8.49642
-0.413267,-8.55137
-0.739897,-8.58421
-1.06403,-8.59453
-1.38526,-8.58227
-1.70329,-8.54745
-2.01786,-8.48998
-2.32865,-8.40959
-2.63527,-8.30592
-2.93721,-8.17866
-3.23374,-8.02786
-3.52395,-7.85424
-3.80675,-7.65929
-4.08091,-7.44535
-4.34524,-7.21545
-4.59871,-6.97299
-4.84066,-6.7214
-5.07101,-6.46364
-5.29036,-6.20198
-5.50003,-5.93786
-5.70201,-5.67197
-5.89881,-5.40446
-6.09327,-5.13532
-6.28832,-4.86474
-6.48676,-4.59331
-6.69113,-4.3222
-6.9035,-4.05306
-7.12542,-3.78785
-7.35785,-3.52855
-7.60106,-3.27685
-7.85476,-3.03399
-8.1181,-2.80059
-8.38985,-2.57674
-8.66858,-2.36207
-8.9529,-2.15595
-9.24165,-1.95771
-9.53397,-1.76678
-9.82936,-1.58275
-10.1275,-1.40546
-10.4283,-1.2349
-10.7313,-1.0712
-11.0358,-0.914505
-11.3407,-0.76493
-11.6446,-0.62246
-11.9458,-0.486914
-12.2429,-0.357893
-12.5349,-0.234741
-12.8216,-0.11654
-13.1037,-0.00211716
-13.3826,0.109915
-13.6603,0.221094
-13.9392,0.333018
-14.2211,0.447249
-14.5074,0.565228
-14.7984,0.688235
-15.0935,0.817369
-15.3916,0.953571
-15.691,1.09767
-15.9901,1.25047
-16.2875,1.41276
-16.5827,1.58538
-16.8757,1.76917
-17.1671,1.96498
-17.4582,2.17357
-17.7507,2.39556
-18.0464,2.63137
-18.3473,2.88121
-18.6558,3.14509
-18.9744,3.42287
-19.3066,3.71434
-19.6564,4.01938
-20.0293,4.33824
-20.4319,4.67204
-20.8729,5.02327
-21.3624,5.39672
-21.9209,5.80549
-22.6406,6.3146
-23.858,7.15931
-26.4464,8.94642
-32.2309,12.939
