"x","y","th","k","s"
20.5153,25.3408,-2.60506,-0.216878,21.833
20.583,25.3811,-2.62264,-0.225585,21.9118
20.6499,25.4193,-2.64042,-0.233264,21.9889
20.7161,25.4556,-2.65831,-0.239766,22.0643
20.7815,25.4899,-2.67624,-0.244963,22.1381
20.8462,25.5224,-2.69409,-0.248754,22.2106
20.9103,25.5532,-2.7118,-0.251078,22.2817
20.9739,25.5823,-2.72927,-0.251913,22.3516
21.0369,25.6099,-2.74643,-0.251283,22.4204
21.0995,25.636,-2.76322,-0.249257,22.4882
21.1617,25.6607,-2.77956,-0.245954,22.5551
21.2234,25.6841,-2.79543,-0.241534,22.6212
21.2848,25.7062,-2.81077,-0.236196,22.6865
21.346,25.7272,-2.82558,-0.230177,22.7511
21.4068,25.7471,-2.83985,-0.223721,22.8151
21.4675,25.766,-2.85359,-0.217007,22.8787
21.528,25.7839,-2.8668,-0.210138,22.9417
21.5883,25.8009,-2.8795,-0.203201,23.0044
21.6485,25.8171,-2.8917,-0.196274,23.0667
21.7086,25.8324,-2.90342,-0.189423,23.1287
21.7686,25.847,-2.91469,-0.182704,23.1905
21.8286,25.8608,-2.92552,-0.176159,23.2521
21.8886,25.874,-2.93594,-0.169824,23.3135
21.9486,25.8865,-2.94596,-0.16372,23.3748
22.0086,25.8984,-2.95561,-0.157861,23.4359
22.0686,25.9097,-2.96491,-0.15225,23.497
22.1287,25.9204,-2.97388,-0.146884,23.5581
22.1889,25.9306,-2.98253,-0.141752,23.6191
22.2491,25.9403,-2.99088,-0.136836,23.6801
22.3095,25.9494,-2.99895,-0.132114,23.7412
22.3699,25.9581,-3.00674,-0.127557,23.8022
22.4305,25.9663,-3.01427,-0.123134,23.8634
22.4912,25.9741,-3.02155,-0.11881,23.9246
22.552,25.9814,-3.02857,-0.114547,23.9858
22.613,25.9884,-3.03534,-0.110307,24.0472
22.6741,25.9949,-3.04187,-0.106073,24.1086
22.7353,26.001,-3.04814,-0.10186,24.1702
22.7967,26.0068,-3.05417,-0.0976839,24.2318
22.8583,26.0122,-3.05995,-0.0935605,24.2936
22.9199,26.0172,-3.0655,-0.0895017,24.3555
22.9818,26.0219,-3.07081,-0.0855174,24.4175
23.0437,26.0263,-3.07588,-0.0816151,24.4796
23.1058,26.0304,-3.08073,-0.0778008,24.5419
23.1681,26.0342,-3.08535,-0.0740786,24.6042
23.2305,26.0377,-3.08976,-0.0704515,24.6667
23.2931,26.0409,-3.09396,-0.0669212,24.7294
23.3557,26.0439,-3.09795,-0.0634884,24.7921
23.4186,26.0467,-3.10174,-0.0601533,24.855
23.4816,26.0492,-3.10533,-0.0569153,24.9181
23.5447,26.0515,-3.10873,-0.0537734,24.9813
23.608,26.0536,-3.11195,-0.0507264,25.0446
23.6715,26.0554,-3.11498,-0.0477729,25.1081
23.7352,26.0571,-3.11785,-0.0449116,25.1718
23.799,26.0587,-3.12054,-0.0421409,25.2356
23.863,26.06,-3.12307,-0.0394596,25.2997
23.9272,26.0612,-3.12545,-0.0368656,25.3639
23.9917,26.0622,-3.12767,-0.0343545,25.4284
24.0564,26.0631,-3.12973,-0.0319221,25.4931
24.1214,26.0639,-3.13166,-0.0295653,25.558
24.1866,26.0646,-3.13344,-0.0272818,25.6233
24.2521,26.0651,-3.13509,-0.0250703,25.6888
24.318,26.0655,-3.13661,-0.0229299,25.7547
24.3842,26.0658,-3.13799,-0.0208605,25.8209
24.4509,26.0661,-3.13925,-0.0188623,25.8876
24.5179,26.0662,-3.14039,-0.016936,25.9546
24.5854,26.0663,-3.14141,-0.0150823,26.0221
24.6533,26.0663,3.14087,-0.0133022,26.09
24.7218,26.0663,3.14007,-0.0115964,26.1585
24.7908,26.0662,3.13938,-0.00996595,26.2275
24.8604,26.066,3.13879,-0.00841145,26.2971
24.9306,26.0658,3.1383,-0.00693343,26.3674
25.0015,26.0656,3.13791,-0.00553211,26.4382
25.0731,26.0653,3.1376,-0.00420745,26.5098
25.1454,26.065,3.13739,-0.00295905,26.5821
25.2184,26.0647,3.13726,-0.00178617,26.6551
25.2923,26.0644,3.13721,-0.000686764,26.729
25.367,26.0641,3.13723,0.000345309,26.8037
25.4426,26.0638,3.13733,0.00131844,26.8793
25.5191,26.0634,3.13751,0.00224085,26.9558
25.5966,26.0631,3.13775,0.00312046,27.0333
25.6751,26.0628,3.13806,0.00396488,27.1118
25.7546,26.0625,3.13844,0.00478153,27.1913
25.8352,26.0623,3.1389,0.0055776,27.2719
25.9168,26.0621,3.13942,0.00636013,27.3535
25.9996,26.0619,3.14001,0.00713605,27.4363
26.0835,26.0617,3.14068,0.00791223,27.5202
26.1685,26.0617,3.14143,0.00869558,27.6052
26.2547,26.0617,-3.14093,0.00949309,27.6914
26.342,26.0617,-3.14003,0.010312,27.7787
26.4305,26.0619,-3.13903,0.0111597,27.8672
26.5202,26.0621,-3.13795,0.0120442,27.9569
26.611,26.0624,-3.13676,0.012974,28.0477
26.7029,26.0629,-3.13547,0.0139584,28.1396
26.7958,26.0634,-3.13407,0.0150078,28.2325
26.8898,26.0641,-3.13254,0.0161337,28.3266
26.9848,26.065,-3.13089,0.0173476,28.4216
27.0808,26.066,-3.12909,0.0186521,28.5175
27.1776,26.0672,-3.12714,0.0200399,28.6143
27.2752,26.0686,-3.12504,0.0215044,28.7119
27.3735,26.0703,-3.12276,0.0230405,28.8102
27.4724,26.0721,-3.12032,0.0246448,28.9091
27.5718,26.0742,-3.1177,0.0263146,29.0086
27.6716,26.0766,-3.11489,0.0280474,29.1085
27.7718,26.0793,-3.1119,0.029841,29.2087
27.8722,26.0823,-3.10871,0.0316925,29.3091
27.9728,26.0856,-3.10533,0.033598,29.4097
28.0733,26.0892,-3.10176,0.035552,29.5103
28.1738,26.0933,-3.09798,0.0375468,29.6109
28.274,26.0976,-3.09402,0.0395716,29.7112
28.3741,26.1024,-3.08986,0.0416121,29.8114
28.4737,26.1075,-3.08551,0.0436492,29.9112
28.5729,26.1131,-3.08099,0.0456583,30.0105
28.6716,26.1191,-3.07629,0.0476083,30.1094
28.7697,26.1255,-3.07144,0.0494603,30.2077
28.8672,26.1324,-3.06646,0.0511666,30.3054
28.9639,26.1397,-3.06137,0.0526711,30.4024
29.06,26.1474,-3.05619,0.053924,30.4988
29.1553,26.1555,-3.05096,0.0548986,30.5945
29.2498,26.1641,-3.0457,0.0555754,30.6894
29.3436,26.1731,-3.04045,0.0559366,30.7836
29.4367,26.1826,-3.03524,0.0559666,30.8771
29.529,26.1924,-3.03009,0.0556536,30.97
29.6206,26.2027,-3.02504,0.0549906,31.0621
29.7115,26.2133,-3.02011,0.0539763,31.1537
29.8018,26.2244,-3.01534,0.0526163,31.2447
29.8915,26.2358,-3.01075,0.0509233,31.3351
29.9807,26.2475,-3.00636,0.0489177,31.425
30.0693,26.2596,-3.0022,0.0466276,31.5145
30.1576,26.2719,-2.99827,0.0440886,31.6036
30.2454,26.2846,-2.99461,0.0413432,31.6924
30.333,26.2976,-2.99121,0.03844,31.7809
30.4203,26.3108,-2.98809,0.0354324,31.8692
30.5074,26.3243,-2.98523,0.0323776,31.9573
30.5943,26.338,-2.98265,0.0293351,32.0453
30.6812,26.3519,-2.98033,0.0263652,32.1333
30.768,26.366,-2.97826,0.0235276,32.2213
