"x","y","th","k","s"
5,10,0.711889,0,0
6.63522,11.4109,0.711958,3.76878e-05,2.15976
7.78483,12.4029,0.71206,7.88543e-05,3.67823
8.5835,13.0923,0.712202,0.000159351,4.73325
9.13703,13.5702,0.712386,0.000295984,5.46455
9.52597,13.9061,0.712594,0.000467837,5.97847
9.80913,14.1508,0.712782,0.000566424,6.35269
10.0272,14.3392,0.7129,0.000450575,6.64089
10.2061,14.494,0.712927,0.000124257,6.87747
10.361,14.6279,0.712876,-0.000264244,7.08224
10.4994,14.7475,0.712767,-0.000623461,7.26514
10.6248,14.8559,0.712615,-0.000957885,7.43089
10.7396,14.9551,0.712434,-0.00124129,7.5826
10.8457,15.0468,0.712241,-0.00142015,7.72285
10.9448,15.1323,0.712057,-0.00144931,7.85376
11.0382,15.2129,0.711901,-0.00130237,7.97707
11.1268,15.2894,0.711789,-0.000975258,8.09418
11.2116,15.3626,0.711736,-0.00048416,8.20617
11.2932,15.4329,0.711751,0.000139495,8.3139
11.3721,15.5009,0.711838,0.0008539,8.41804
11.4486,15.567,0.711999,0.00160947,8.51911
11.5231,15.6313,0.712228,0.00235707,8.61755
11.5959,15.6941,0.71252,0.00306418,8.71376
11.6673,15.7558,0.712867,0.00370805,8.80808
11.7375,15.8165,0.71326,0.00427085,8.90084
11.8067,15.8763,0.713692,0.00474029,8.99233
11.875,15.9356,0.714152,0.00511006,9.08279
11.9428,15.9943,0.714632,0.00537955,9.17243
12.01,16.0526,0.715125,0.00555311,9.26145
12.0769,16.1107,0.715624,0.00563912,9.35
12.1434,16.1685,0.716121,0.00564822,9.43818
12.2097,16.2262,0.716611,0.00557984,9.5261
12.2759,16.2838,0.717084,0.00540311,9.6138
12.3418,16.3414,0.717528,0.00507384,9.70133
12.4077,16.3988,0.717925,0.00454424,9.78868
12.4733,16.4562,0.718252,0.00376304,9.87588
12.5389,16.5134,0.718485,0.00267563,9.96291
12.6043,16.5706,0.718591,0.00122486,10.0498
12.6695,16.6277,0.718535,-0.000646944,10.1365
12.7347,16.6847,0.718276,-0.0029945,10.223
12.7998,16.7416,0.71777,-0.00586056,10.3095
12.8648,16.7984,0.716975,-0.00919766,10.3958
12.93,16.8552,0.715871,-0.0127713,10.4823
12.9953,16.912,0.714459,-0.0162774,10.5688
13.0609,16.9689,0.712769,-0.0194137,10.6557
13.1269,17.0259,0.710853,-0.0218985,10.7429
13.1934,17.0832,0.708784,-0.0234857,10.8307
