"x","y","th","k","s"
22.613,25.9884,0.106249,-0.110307,24.0472
22.6741,25.9949,0.0997254,-0.106073,24.1086
22.7353,26.001,0.0934505,-0.10186,24.1702
22.7967,26.0068,0.0874222,-0.0976839,24.2318
22.8583,26.0122,0.0816378,-0.0935605,24.2936
22.9199,26.0172,0.0760938,-0.0895017,24.3555
22.9818,26.0219,0.0707863,-0.0855174,24.4175
23.0437,26.0263,0.065711,-0.0816151,24.4796
23.1058,26.0304,0.0608632,-0.0778008,24.5419
23.1681,26.0342,0.0562379,-0.0740786,24.6042
23.2305,26.0377,0.05183,-0.0704515,24.6667
23.2931,26.0409,0.0476341,-0.0669212,24.7294
23.3557,26.0439,0.0436448,-0.0634884,24.7921
23.4186,26.0467,0.0398567,-0.0601533,24.855
23.4816,26.0492,0.0362644,-0.0569153,24.9181
23.5447,26.0515,0.0328624,-0.0537734,24.9813
23.608,26.0536,0.0296453,-0.0507264,25.0446
23.6715,26.0554,0.0266077,-0.0477729,25.1081
23.7352,26.0571,0.0237442,-0.0449116,25.1718
23.799,26.0587,0.0210496,-0.0421409,25.2356
23.863,26.06,0.0185186,-0.0394596,25.2997
23.9272,26.0612,0.0161462,-0.0368656,25.3639
23.9917,26.0622,0.0139275,-0.0343545,25.4284
24.0564,26.0631,0.0118579,-0.0319221,25.4931
24.1214,26.0639,0.00993315,-0.0295653,25.558
24.1866,26.0646,0.00814906,-0.0272818,25.6233
24.2521,26.0651,0.00650163,-0.0250703,25.6888
24.318,26.0655,0.00498698,-0.0229299,25.7547
24.3842,26.0658,0.00360128,-0.0208605,25.8209
24.4509,26.0661,0.00234076,-0.0188623,25.8876
24.5179,26.0662,0.00120168,-0.016936,25.9546
24.5854,26.0663,0.000180291,-0.0150823,26.0221
24.6533,26.0663,-0.000727128,-0.0133022,26.09
24.7218,26.0663,-0.00152432,-0.0115964,26.1585
24.7908,26.0662,-0.00221505,-0.00996595,26.2275
24.8604,26.066,-0.00280308,-0.00841145,26.2971
24.9306,26.0658,-0.0032922,-0.00693343,26.3674
25.0015,26.0656,-0.00368618,-0.00553211,26.4382
25.0731,26.0653,-0.00398882,-0.00420745,26.5098
25.1454,26.065,-0.00420388,-0.00295905,26.5821
25.2184,26.0647,-0.0043351,-0.00178617,26.6551
25.2923,26.0644,-0.00438612,-0.000686764,26.729
25.367,26.0641,-0.00436017,0.000345309,26.8037
25.4426,26.0638,-0.00425989,0.00131844,26.8793
25.5191,26.0634,-0.00408734,0.00224085,26.9558
25.5966,26.0631,-0.00384401,0.00312046,27.0333
25.6751,26.0628,-0.00353082,0.00396488,27.1118
25.7546,26.0625,-0.00314813,0.00478153,27.1913
25.8352,26.0623,-0.00269576,0.0055776,27.2719
25.9168,26.0621,-0.00217293,0.00636013,27.3535
25.9996,26.0619,-0.00157833,0.00713605,27.4363
26.0835,26.0617,-0.00091006,0.00791223,27.5202
26.1685,26.0617,-0.000165632,0.00869558,27.6052
26.2547,26.0617,0.00065805,0.00949309,27.6914
26.342,26.0617,0.00156472,0.010312,27.7787
26.4305,26.0619,0.0025588,0.0111597,27.8672
26.5202,26.0621,0.0036454,0.0120442,27.9569
26.611,26.0624,0.00483045,0.012974,28.0477
26.7029,26.0629,0.0061207,0.0139584,28.1396
26.7958,26.0634,0.00752385,0.0150078,28.2325
26.8898,26.0641,0.00904865,0.0161337,28.3266
26.9848,26.065,0.0107049,0.0173476,28.4216
27.0808,26.066,0.0125024,0.0186521,28.5175
27.1776,26.0672,0.0144503,0.0200399,28.6143
27.2752,26.0686,0.0165567,0.0215044,28.7119
27.3735,26.0703,0.0188289,0.0230405,28.8102
27.4724,26.0721,0.0212734,0.0246448,28.9091
27.5718,26.0742,0.0238961,0.0263146,29.0086
27.6716,26.0766,0.0267023,0.0280474,29.1085
27.7718,26.0793,0.0296963,0.029841,29.2087
27.8722,26.0823,0.0328818,0.0316925,29.3091
27.9728,26.0856,0.0362615,0.033598,29.4097
28.0733,26.0892,0.0398372,0.035552,29.5103
28.1738,26.0933,0.0436091,0.0375468,29.6109
28.274,26.0976,0.0475761,0.0395716,29.7112
28.3741,26.1024,0.0517354,0.0416121,29.8114
28.4737,26.1075,0.0560817,0.0436492,29.9112
28.5729,26.1131,0.0606072,0.0456583,30.0105
28.6716,26.1191,0.0653009,0.0476083,30.1094
28.7697,26.1255,0.0701485,0.0494603,30.2077
28.8672,26.1324,0.0751308,0.0511666,30.3054
28.9639,26.1397,0.0802244,0.0526711,30.4024
29.06,26.1474,0.0854014,0.053924,30.4988
29.1553,26.1555,0.090633,0.0548986,30.5945
29.2498,26.1641,0.0958893,0.0555754,30.6894
29.3436,26.1731,0.10114,0.0559366,30.7836
29.4367,26.1826,0.106355,0.0559666,30.8771
29.529,26.1924,0.111503,0.0556536,30.97
29.6206,26.2027,0.116554,0.0549906,31.0621
29.7115,26.2133,0.12148,0.0539763,31.1537
29.8018,26.2244,0.126252,0.0526163,31.2447
29.8915,26.2358,0.130844,0.0509233,31.3351
29.9807,26.2475,0.135232,0.0489177,31.425
30.0693,26.2596,0.139396,0.0466276,31.5145
30.1576,26.2719,0.143318,0.0440886,31.6036
30.2454,26.2846,0.146983,0.0413432,31.6924
30.333,26.2976,0.150381,0.03844,31.7809
30.4203,26.3108,0.153506,0.0354324,31.8692
30.5074,26.3243,0.156358,0.0323776,31.9573
30.5943,26.338,0.158939,0.0293351,32.0453
30.6812,26.3519,0.161259,0.0263652,32.1333
30.768,26.366,0.163329,0.0235276,32.2213
30.8549,26.3803,0.165166,0.0208714,32.3093
30.9417,26.3948,0.166789,0.0184153,32.3973
31.0287,26.4095,0.168215,0.0161615,32.4855
31.1158,26.4243,0.169462,0.014108,32.5738
31.203,26.4392,0.170547,0.0122506,32.6623
31.2903,26.4542,0.171487,0.0105825,32.751
31.3779,26.4694,0.172296,0.00909527,32.8399
31.4657,26.4847,0.17299,0.00777922,32.929
31.5537,26.5,0.173583,0.00662362,33.0183
31.6419,26.5155,0.174086,0.00561704,33.1079
31.7304,26.5311,0.174514,0.00474764,33.1977
31.8191,26.5467,0.174875,0.00400328,33.2878
31.9081,26.5624,0.17518,0.00337174,33.3782
31.9974,26.5782,0.175438,0.00284082,33.4689
32.087,26.5941,0.175657,0.00239839,33.5598
32.1769,26.6101,0.175842,0.00203251,33.6511
32.267,26.6261,0.176001,0.00173143,33.7427
32.3575,26.6422,0.176138,0.00148364,33.8346
32.4484,26.6584,0.176256,0.00127791,33.9269
32.5395,26.6746,0.176358,0.0011033,34.0195
32.6311,26.6909,0.176447,0.000950019,34.1125
32.723,26.7073,0.176523,0.000813015,34.2058
32.8153,26.7238,0.176588,0.000690918,34.2996
32.9081,26.7403,0.176643,0.000582783,34.3939
33.0013,26.757,0.176689,0.000487694,34.4886
33.0951,26.7737,0.176728,0.000404752,34.5838
33.1893,26.7905,0.17676,0.000333061,34.6795
33.2841,26.8075,0.176786,0.000271734,34.7758
33.3794,26.8245,0.176808,0.000219879,34.8726
33.4753,26.8416,0.176825,0.00017661,34.97
33.5718,26.8589,0.176839,0.000141049,35.0681
33.669,26.8762,0.17685,0.00011233,35.1668
33.7668,26.8937,0.176859,8.96038e-05,35.2661
33.8652,26.9113,0.176866,7.20439e-05,35.3661
33.9643,26.929,0.176872,5.88563e-05,35.4668
34.064,26.9468,0.176877,4.928e-05,35.5681
34.1644,26.9648,0.176881,4.25833e-05,35.67
34.2654,26.9828,0.176885,3.80817e-05,35.7727
34.367,27.001,0.176889,3.51251e-05,35.8759
34.4692,27.0193,0.176892,3.30974e-05,35.9797
34.5719,27.0376,0.176896,3.14416e-05,36.084
34.6751,27.0561,0.176899,2.98311e-05,36.1889
34.7788,27.0746,0.176902,2.82282e-05,36.2942
34.8828,27.0932,0.176905,2.66433e-05,36.3998
34.9871,27.1118,0.176907,2.50915e-05,36.5058
35.0916,27.1305,0.17691,2.35759e-05,36.6119
35.1962,27.1492,0.176912,2.21043e-05,36.7182
35.3009,27.1679,0.176914,2.06742e-05,36.8245
35.4055,27.1866,0.176916,1.92928e-05,36.9308
35.5099,27.2053,0.176918,1.79606e-05,37.0369
35.6141,27.2239,0.17692,1.66797e-05,37.1427
35.7179,27.2425,0.176922,1.54424e-05,37.2481
35.8212,27.261,0.176923,1.42465e-05,37.3531
35.924,27.2793,0.176924,1.30981e-05,37.4575
36.0261,27.2976,0.176926,1.19999e-05,37.5613
36.1275,27.3157,0.176927,1.09387e-05,37.6642
36.228,27.3337,0.176928,9.92771e-06,37.7663
36.3276,27.3515,0.176929,8.95288e-06,37.8675
36.4261,27.3691,0.17693,8.02021e-06,37.9676
36.5236,27.3866,0.17693,7.15699e-06,38.0667
36.6199,27.4038,0.176931,6.33294e-06,38.1645
36.715,27.4208,0.176931,5.6042e-06,38.2611
36.8089,27.4376,0.176932,4.90782e-06,38.3564
36.9014,27.4541,0.176932,4.2791e-06,38.4504
36.9926,27.4704,0.176933,3.66459e-06,38.5431
37.0824,27.4865,0.176933,3.1419e-06,38.6343
37.1708,27.5023,0.176933,2.6264e-06,38.7241
37.2579,27.5178,0.176933,2.22138e-06,38.8126
37.3435,27.5332,0.176933,1.76319e-06,38.8996
37.4278,27.5482,0.176934,1.34709e-06,38.9852
37.5107,27.563,0.176934,1.0698e-06,39.0694
37.5922,27.5776,0.176934,8.95654e-07,39.1522
37.6723,27.592,0.176934,6.49423e-07,39.2336
37.7512,27.606,0.176934,6.65907e-07,39.3137
37.8287,27.6199,0.176934,0,39.3924
37.9049,27.6335,0.176934,0,39.4699
37.9799,27.647,0.176934,0,39.5461
38.0537,27.6601,0.176934,7.3473e-07,39.621
38.1263,27.6731,0.176934,7.52407e-07,39.6948
38.1978,27.6859,0.176934,0,39.7674
38.2682,27.6985,0.176934,-0,39.839
